kernel,architecture,method,status,normal_completion,success,legal,ii,route_cost,compile_wall_seconds,routing_attempts,parent_solves,child_solves,cache_hits,cache_misses,termination,scorer_rejection_reasons,work_id,result_file
trmm,A0_hycube4x4,flow_proposal,DONE,True,True,True,4,71.0,146.36888568475842,1804,22,0,18,4,DONE,{},trmm__A0_hycube4x4__flow_proposal__0__edc7f2588a38ea0a,results/remote_snapshots/20260731_flowadvantage_v2_manifest_v7_terminal/work_items/trmm__A0_hycube4x4__flow_proposal__0__edc7f2588a38ea0a.json
array_cond,A2_hycube4x4_mem_variant,flow_proposal,VALID_MAPPING_FAILURE,True,False,False,4,,106.92838745564222,1866,4,0,4,0,NO_LEGAL_ACTION,"{""UNAVAILABLE:parent native relaxation is not feasible: status='user_limit', error=''"": 4}",array_cond__A2_hycube4x4_mem_variant__flow_proposal__0__e40aa14e098d8c89,results/remote_snapshots/20260731_flowadvantage_v2_manifest_v7_terminal/work_items/array_cond__A2_hycube4x4_mem_variant__flow_proposal__0__e40aa14e098d8c89.json
fix_fft,A3_hycube8x8,flow_proposal,VALID_MAPPING_FAILURE,True,False,False,,,,,,,,,NO_LEGAL_ACTION,{},fix_fft__A3_hycube8x8__flow_proposal__0__f3b0638f03153d35,results/remote_snapshots/20260731_flowadvantage_v2_manifest_v7_terminal/work_items/fix_fft__A3_hycube8x8__flow_proposal__0__f3b0638f03153d35.json
hpcg,A0_hycube4x4,flow_proposal,VALID_MAPPING_FAILURE,True,False,False,4,,90.59363517165184,1852,4,0,4,0,NO_LEGAL_ACTION,"{""UNAVAILABLE:parent native relaxation is not feasible: status='infeasible', error='no legal temporal native route edges for 10|ADD|3|3||0|2068->20|LS|4|4||1|2'"": 4}",hpcg__A0_hycube4x4__flow_proposal__0__017c2791229b5f4b,results/remote_snapshots/20260731_flowadvantage_v2_manifest_v7_terminal/work_items/hpcg__A0_hycube4x4__flow_proposal__0__017c2791229b5f4b.json
trmm,A1_stdnoc4x4,flow_proposal,DONE,True,True,True,4,77.0,243.62838295847178,2016,24,0,11,13,DONE,{},trmm__A1_stdnoc4x4__flow_proposal__0__218e1e7cf488158d,results/remote_snapshots/20260731_flowadvantage_v2_manifest_v7_terminal/work_items/trmm__A1_stdnoc4x4__flow_proposal__0__218e1e7cf488158d.json
hpcg,A1_stdnoc4x4,flow_proposal,VALID_MAPPING_FAILURE,True,False,False,5,,60.58108672872186,2347,4,0,4,0,NO_LEGAL_ACTION,"{""UNAVAILABLE:parent native relaxation is not feasible: status='user_limit', error=''"": 4}",hpcg__A1_stdnoc4x4__flow_proposal__0__87ee7938c8a0a55d,results/remote_snapshots/20260731_flowadvantage_v2_manifest_v7_terminal/work_items/hpcg__A1_stdnoc4x4__flow_proposal__0__87ee7938c8a0a55d.json
trmm,A2_hycube4x4_mem_variant,flow_proposal,DONE,True,True,True,4,71.0,150.5989178828895,1804,22,0,18,4,DONE,{},trmm__A2_hycube4x4_mem_variant__flow_proposal__0__6ee02d8765a566b0,results/remote_snapshots/20260731_flowadvantage_v2_manifest_v7_terminal/work_items/trmm__A2_hycube4x4_mem_variant__flow_proposal__0__6ee02d8765a566b0.json
array_add,A3_hycube8x8,flow_proposal,TIMEOUT,False,False,,,,,,,,,,,{},array_add__A3_hycube8x8__flow_proposal__0__af225b245367ac79,results/remote_snapshots/20260731_flowadvantage_v2_manifest_v7_terminal/work_items/array_add__A3_hycube8x8__flow_proposal__0__af225b245367ac79.json
array_cond,A0_hycube4x4,flow_proposal,VALID_MAPPING_FAILURE,True,False,False,4,,105.96557384356856,1866,4,0,4,0,NO_LEGAL_ACTION,"{""UNAVAILABLE:parent native relaxation is not feasible: status='user_limit', error=''"": 4}",array_cond__A0_hycube4x4__flow_proposal__0__5b7b41b11ffadd58,results/remote_snapshots/20260731_flowadvantage_v2_manifest_v7_terminal/work_items/array_cond__A0_hycube4x4__flow_proposal__0__5b7b41b11ffadd58.json
array_add,A0_hycube4x4,flow_top4,DONE,True,True,True,4,132.0,3973.9877644628286,2725,48,180,61,167,DONE,"{""UNAVAILABLE:parent native relaxation is not feasible: status='infeasible', error=''"": 3}",array_add__A0_hycube4x4__flow_top4__0__b04651e87f9152d6,results/remote_snapshots/20260731_flowadvantage_v2_manifest_v7_terminal/work_items/array_add__A0_hycube4x4__flow_top4__0__b04651e87f9152d6.json
